iter	Passed	Remaining
0	141	141113
1	142	71311
2	143	47810
3	144	36011
4	144	28851
5	145	24084
6	145	20650
7	145	18068
8	145	16061
9	146	14455
10	146	13140
11	146	12048
12	146	11122
13	146	10328
14	146	9638
15	147	9041
16	147	8509
17	147	8034
18	147	7611
19	147	7230
20	147	6886
21	147	6572
22	147	6286
23	148	6022
24	148	5781
25	148	5557
26	148	5348
27	148	5157
28	148	4977
29	148	4811
30	148	4655
31	149	4510
32	149	4372
33	149	4242
34	149	4120
35	149	4006
36	149	3898
37	149	3794
38	150	3696
39	150	3603
40	150	3515
41	150	3432
42	150	3353
43	150	3277
44	151	3205
45	151	3135
46	151	3068
47	151	3004
48	151	2942
49	151	2883
50	152	2829
51	152	2781
52	152	2729
53	153	2682
54	153	2636
55	153	2595
56	154	2554
57	154	2512
58	155	2475
59	155	2436
60	156	2402
61	156	2368
62	157	2335
63	157	2301
64	157	2269
65	158	2237
66	158	2207
67	158	2177
68	159	2147
69	159	2120
70	160	2093
71	160	2066
72	160	2040
73	161	2014
74	161	1991
75	161	1967
76	162	1944
77	162	1921
78	162	1898
79	163	1876
80	163	1853
81	163	1832
82	163	1811
83	164	1791
84	164	1771
85	164	1751
86	164	1731
87	165	1711
88	165	1693
89	165	1674
90	165	1656
91	166	1639
92	166	1622
93	166	1605
94	166	1589
95	167	1573
96	167	1557
97	167	1542
98	167	1526
99	168	1513
100	168	1498
101	168	1484
102	168	1471
103	169	1457
104	169	1445
105	169	1432
106	170	1419
107	170	1405
108	170	1393
109	170	1380
110	170	1369
111	171	1356
112	171	1345
113	171	1334
114	171	1322
115	172	1311
116	172	1301
117	172	1289
118	172	1279
119	173	1268
120	173	1258
121	173	1248
122	173	1238
123	173	1227
124	173	1217
125	174	1207
126	174	1198
127	174	1189
128	174	1179
129	174	1170
130	175	1162
131	175	1153
132	175	1144
133	175	1135
134	175	1126
135	176	1118
136	176	1110
137	176	1101
138	176	1093
139	176	1085
140	177	1078
141	177	1070
142	177	1062
143	177	1055
144	177	1047
145	177	1040
146	178	1033
147	178	1026
148	178	1019
149	178	1012
150	178	1005
151	179	998
152	179	991
153	179	985
154	179	978
155	179	972
156	179	966
157	180	960
158	180	954
159	180	947
160	180	941
161	180	936
162	181	930
163	181	924
164	181	918
165	181	912
166	181	907
167	182	902
168	182	896
169	182	891
170	182	885
171	182	880
172	183	875
173	183	870
174	183	864
175	183	859
176	183	854
177	184	850
178	184	845
179	184	840
180	184	835
181	184	830
182	184	825
183	185	820
184	185	816
185	185	811
186	185	806
187	185	802
188	185	797
189	186	793
190	186	788
191	186	784
192	186	779
193	186	775
194	186	771
195	186	766
196	187	763
197	187	758
198	187	754
199	187	750
200	187	747
201	188	742
202	188	738
203	188	734
204	188	730
205	188	726
206	188	723
207	188	719
208	189	715
209	189	711
210	189	708
211	189	704
212	189	701
213	189	697
214	190	694
215	190	690
216	190	687
217	190	684
218	190	680
219	191	677
220	191	674
221	191	671
222	191	667
223	191	664
224	192	661
225	192	658
226	192	655
227	192	652
228	192	648
229	192	645
230	193	642
231	193	639
232	193	636
233	193	633
234	193	630
235	193	627
236	194	624
237	194	621
238	194	618
239	194	616
240	194	613
241	194	610
242	195	607
243	195	604
244	195	602
245	195	599
246	195	596
247	195	593
248	196	591
249	196	588
250	196	586
251	196	583
252	196	581
253	196	578
254	197	575
255	197	573
256	197	570
257	197	568
258	197	566
259	198	563
260	198	561
261	198	558
262	198	556
263	198	553
264	198	551
265	199	549
266	199	546
267	199	544
268	199	542
269	199	540
270	199	537
271	200	535
272	200	533
273	200	530
274	200	528
275	200	526
276	200	523
277	200	521
278	201	519
279	201	517
280	201	515
281	201	513
282	201	511
283	201	509
284	202	507
285	202	504
286	202	502
287	202	500
288	202	498
289	202	496
290	203	494
291	203	492
292	203	491
293	203	489
294	203	487
295	203	485
296	204	483
297	204	481
298	204	479
299	204	477
300	204	475
301	204	473
302	205	471
303	205	470
304	205	468
305	205	466
306	205	464
307	205	462
308	206	460
309	206	459
310	206	457
311	206	455
312	206	453
313	206	451
314	207	450
315	207	448
316	207	446
317	207	445
318	207	443
319	207	441
320	208	440
321	208	438
322	208	436
323	208	435
324	208	433
325	208	432
326	209	430
327	209	429
328	209	427
329	209	425
330	209	424
331	210	422
332	210	421
333	210	419
334	210	418
335	210	416
336	210	414
337	211	413
338	211	411
339	211	410
340	211	408
341	211	407
342	211	405
343	212	404
344	212	402
345	212	401
346	212	400
347	212	398
348	212	397
349	213	395
350	213	394
351	213	392
352	213	391
353	213	389
354	213	388
355	214	387
356	214	385
357	214	384
358	214	383
359	214	381
360	214	380
361	215	378
362	215	377
363	215	376
364	215	374
365	215	373
366	215	372
367	216	370
368	216	369
369	216	368
370	216	367
371	216	365
372	216	364
373	217	363
374	217	362
375	217	360
376	217	359
377	217	358
378	217	357
379	218	355
380	218	354
381	218	353
382	218	352
383	218	351
384	219	349
385	219	348
386	219	347
387	219	346
388	219	345
389	219	344
390	220	342
391	220	341
392	220	340
393	220	339
394	220	338
395	221	337
396	221	335
397	221	334
398	221	333
399	221	332
400	221	331
401	222	330
402	222	329
403	222	328
404	222	327
405	222	325
406	222	324
407	223	323
408	223	322
409	223	321
410	223	320
411	223	319
412	223	318
413	224	317
414	224	316
415	224	315
416	224	314
417	224	313
418	225	312
419	225	311
420	225	310
421	225	309
422	225	308
423	225	306
424	226	305
425	226	304
426	226	303
427	226	302
428	226	301
429	227	300
430	227	299
431	227	298
432	227	297
433	227	296
434	227	295
435	228	294
436	228	294
437	228	293
438	228	292
439	228	291
440	228	290
441	229	289
442	229	288
443	229	287
444	229	286
445	229	285
446	229	284
447	230	283
448	230	282
449	230	281
450	230	280
451	230	279
452	230	278
453	231	277
454	231	276
455	231	276
456	231	275
457	231	274
458	231	273
459	232	272
460	232	271
461	232	270
462	232	269
463	232	268
464	232	268
465	233	267
466	233	266
467	233	265
468	233	264
469	233	263
470	233	262
471	234	261
472	234	261
473	234	260
474	234	259
475	234	258
476	235	257
477	235	256
478	235	255
479	235	255
480	235	254
481	235	253
482	236	252
483	236	251
484	236	250
485	236	250
486	236	249
487	236	248
488	237	247
489	237	246
490	237	246
491	237	245
492	237	244
493	237	243
494	238	242
495	238	242
496	238	241
497	238	240
498	238	239
499	238	238
500	239	238
501	239	237
502	239	236
503	239	235
504	239	234
505	239	234
506	240	233
507	240	232
508	240	231
509	240	231
510	240	230
511	240	229
512	241	228
513	241	228
514	241	227
515	241	226
516	241	225
517	241	225
518	242	224
519	242	223
520	242	222
521	242	222
522	242	221
523	242	220
524	243	219
525	243	219
526	243	218
527	243	217
528	243	217
529	243	216
530	244	215
531	244	214
532	244	214
533	244	213
534	244	212
535	245	212
536	245	211
537	245	210
538	245	210
539	245	209
540	246	208
541	246	208
542	246	207
543	246	206
544	246	206
545	246	205
546	247	204
547	247	204
548	247	203
549	247	202
550	248	202
551	248	201
552	248	200
553	248	200
554	248	199
555	248	198
556	249	198
557	249	197
558	249	196
559	249	196
560	249	195
561	250	194
562	250	194
563	250	193
564	250	192
565	250	192
566	250	191
567	251	190
568	251	190
569	251	189
570	251	188
571	251	188
572	251	187
573	252	187
574	252	186
575	252	185
576	252	185
577	252	184
578	252	183
579	253	183
580	253	182
581	253	182
582	253	181
583	253	180
584	253	180
585	254	179
586	254	178
587	254	178
588	254	177
589	254	177
590	254	176
591	255	175
592	255	175
593	255	174
594	255	173
595	255	173
596	255	172
597	256	172
598	256	171
599	256	170
600	256	170
601	256	169
602	256	169
603	257	168
